ROI name,Estimate,Std. Error,t value,p-value (FDR corrected)
Left caudal anterior cingulate, 0.0288651,0.059780,0.79652,0.6295095
Left caudal middle frontal, 0.0246247,0.046426,0.77006,0.5961760
Left cuneus, 0.0347397,0.040039,0.63012,0.3862026
Left entorhinal, 0.0106300,0.078225,0.95575,0.8919898
Left fusiform,-0.0136139,0.068494,0.94981,0.8425705
Left inferior parietal,-0.0085322,0.041769,0.94981,0.8382639
Left inferior temporal,-0.0444404,0.053982,0.63697,0.4109483
Left isthmus cingulate, 0.0261159,0.049058,0.77006,0.5948337
Left lateral occipital,-0.0433859,0.043493,0.58212,0.3192246
Left lateral orbitofrontal, 0.0830939,0.054859,0.42680,0.1307926
Left lingual, 0.1499946,0.061695,0.18823,0.0155689
Left medial orbitofrontal,-0.0586753,0.058487,0.58212,0.3164775
Left middle temporal,-0.0272852,0.061040,0.81240,0.6551575
Left parahippocampal, 0.0584898,0.060635,0.59418,0.3354232
Left paracentral, 0.0580052,0.034539,0.36995,0.0939996
Left pars opercularis, 0.1222211,0.053018,0.18823,0.0217583
Left pars orbitalis, 0.0999806,0.059294,0.36995,0.0926836
Left pars triangularis, 0.0598373,0.054857,0.53504,0.2761479
Left pericalcarine,-0.0116673,0.056361,0.94981,0.8361276
Left postcentral, 0.0852734,0.033674,0.18264,0.0117835
Left posterior cingulate,-0.0432484,0.052100,0.63697,0.4070687
Left precentral, 0.0963664,0.035870,0.15659,0.0075768
Left precuneus, 0.0634381,0.037347,0.36995,0.0903106
Left rostral anterior cingulate,-0.0069779,0.067397,0.95575,0.9176008
Left rostral middle frontal,-0.0026498,0.062309,0.96610,0.9661037
Left superior frontal, 0.0384824,0.050427,0.67432,0.4459185
Left superior parietal, 0.0493027,0.028932,0.36995,0.0892813
Left superior temporal, 0.0649150,0.048088,0.46091,0.1779468
Left supramarginal, 0.0544736,0.045031,0.51770,0.2272428
Left transverse temporal, 0.1083310,0.057152,0.36507,0.0588825
Left insula, 0.1093998,0.074213,0.43828,0.1413796
Right caudal anterior cingulate, 0.0571704,0.077367,0.67971,0.4604510
Right caudal middle frontal, 0.0600634,0.047095,0.50360,0.2030628
Right cuneus, 0.0575989,0.036018,0.40381,0.1107216
Right entorhinal,-0.0219297,0.088375,0.94981,0.8041745
Right fusiform, 0.0498703,0.075782,0.70396,0.5109410
Right inferior parietal, 0.0039637,0.042029,0.95575,0.9249207
Right inferior temporal, 0.0038547,0.060334,0.96465,0.9490957
Right isthmus cingulate, 0.0429563,0.046747,0.61793,0.3587994
Right lateral occipital, 0.0049645,0.040405,0.95575,0.9022852
Right lateral orbitofrontal, 0.0722604,0.059656,0.51770,0.2266384
Right lingual, 0.1203446,0.059353,0.29888,0.0433861
Right medial orbitofrontal,-0.0386086,0.062132,0.72076,0.5347581
Right middle temporal, 0.0066683,0.057659,0.95575,0.9079985
Right parahippocampal, 0.1684962,0.061155,0.15659,0.0061836
Right paracentral, 0.0788736,0.034858,0.18823,0.0242880
Right pars opercularis, 0.0775374,0.055736,0.46091,0.1650946
Right pars orbitalis, 0.1075967,0.061234,0.36995,0.0797999
Right pars triangularis, 0.0816339,0.057263,0.45737,0.1549142
Right pericalcarine, 0.0205840,0.052081,0.84237,0.6929195
Right postcentral, 0.0860512,0.036562,0.18823,0.0191686
Right posterior cingulate, 0.0859235,0.055790,0.42680,0.1244695
Right precentral, 0.1083576,0.038819,0.15659,0.0055481
Right precuneus, 0.0411591,0.035756,0.51770,0.2504985
Right rostral anterior cingulate, 0.0744277,0.084425,0.63012,0.3786304
Right rostral middle frontal,-0.0462666,0.070279,0.70396,0.5107782
Right superior frontal, 0.0361815,0.053013,0.70396,0.4953899
Right superior parietal, 0.0577699,0.034553,0.36995,0.0954698
Right superior temporal, 0.0594718,0.050971,0.51770,0.2441298
Right supramarginal, 0.0630678,0.046770,0.46091,0.1784161
Right transverse temporal, 0.0614676,0.055813,0.53504,0.2715456
Right insula, 0.0855460,0.073250,0.51770,0.2436855
