ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate,-0.0391696,NA,NA,NA,
Left caudal middle frontal, 0.0010247,NA,NA,NA,
Left cuneus, 0.0434858,NA,NA,NA,
Left entorhinal,-0.0214991,NA,NA,NA,
Left fusiform,-0.0583178,NA,NA,NA,
Left inferior parietal,-0.0888220,NA,NA,NA,
Left inferior temporal,-0.1128024,NA,NA,NA,
Left isthmus cingulate,-0.0414595,NA,NA,NA,
Left lateral occipital,-0.1137763,NA,NA,NA,
Left lateral orbitofrontal, 0.1051241,NA,NA,NA,
Left lingual, 0.1270034,NA,NA,NA,
Left medial orbitofrontal,-0.1741959,NA,NA,NA,
Left middle temporal,-0.0729060,NA,NA,NA,
Left parahippocampal, 0.0274217,NA,NA,NA,
Left paracentral, 0.1132561,NA,NA,NA,
Left pars opercularis, 0.2038536,NA,NA,NA,
Left pars orbitalis, 0.0895449,NA,NA,NA,
Left pars triangularis, 0.0158576,NA,NA,NA,
Left pericalcarine,-0.0270435,NA,NA,NA,
Left postcentral, 0.3009590,NA,NA,NA,
Left posterior cingulate,-0.2666107,NA,NA,NA,
Left precentral, 0.3386207,NA,NA,NA,
Left precuneus, 0.1151444,NA,NA,NA,
Left rostral anterior cingulate,-0.1010226,NA,NA,NA,
Left rostral middle frontal,-0.0399236,NA,NA,NA,
Left superior frontal,-0.0154342,NA,NA,NA,
Left superior parietal, 0.1682389,NA,NA,NA,
Left superior temporal, 0.0585504,NA,NA,NA,
Left supramarginal, 0.0424487,NA,NA,NA,
Left transverse temporal, 0.1100270,NA,NA,NA,
Left insula, 0.0699476,NA,NA,NA,
Right caudal anterior cingulate,-0.0092914,NA,NA,NA,
Right caudal middle frontal, 0.0513193,NA,NA,NA,
Right cuneus, 0.1410417,NA,NA,NA,
Right entorhinal,-0.0372010,NA,NA,NA,
Right fusiform, 0.0016125,NA,NA,NA,
Right inferior parietal,-0.0525237,NA,NA,NA,
Right inferior temporal,-0.0406202,NA,NA,NA,
Right isthmus cingulate, 0.0218569,NA,NA,NA,
Right lateral occipital,-0.0261044,NA,NA,NA,
Right lateral orbitofrontal, 0.0377800,NA,NA,NA,
Right lingual, 0.1045095,NA,NA,NA,
Right medial orbitofrontal,-0.1596754,NA,NA,NA,
Right middle temporal,-0.0543171,NA,NA,NA,
Right parahippocampal, 0.1775522,NA,NA,NA,
Right paracentral, 0.2133228,NA,NA,NA,
Right pars opercularis, 0.0785311,NA,NA,NA,
Right pars orbitalis, 0.0995211,NA,NA,NA,
Right pars triangularis, 0.0457549,NA,NA,NA,
Right pericalcarine, 0.0159623,NA,NA,NA,
Right postcentral, 0.2639476,NA,NA,NA,
Right posterior cingulate, 0.0540345,NA,NA,NA,
Right precentral, 0.3257280,NA,NA,NA,
Right precuneus, 0.0415790,NA,NA,NA,
Right rostral anterior cingulate, 0.0083760,NA,NA,NA,
Right rostral middle frontal,-0.0775597,NA,NA,NA,
Right superior frontal,-0.0479595,NA,NA,NA,
Right superior parietal, 0.1297045,NA,NA,NA,
Right superior temporal, 0.0411256,NA,NA,NA,
Right supramarginal, 0.0698265,NA,NA,NA,
Right transverse temporal, 0.0337319,NA,NA,NA,
Right insula, 0.0182373,NA,NA,NA,
