ROI name,Estimate,Std. Error,t value,p-value (FDR corrected)
Left caudal anterior cingulate, 0.5703105,0.68839,0.70343,0.4088684
Left caudal middle frontal, 1.7449903,1.13425,0.53249,0.1262792
Left cuneus, 0.8882174,1.09756,0.70343,0.4197884
Left entorhinal, 0.5415211,0.54943,0.67392,0.3260922
Left fusiform, 1.3880108,0.56829,0.44784,0.0158810
Left inferior parietal, 1.1040572,1.02503,0.60580,0.2833584
Left inferior temporal, 1.1227660,0.75834,0.53249,0.1410545
Left isthmus cingulate, 0.5219824,0.89483,0.72387,0.5606448
Left lateral occipital, 0.0325752,0.95548,0.99926,0.9728533
Left lateral orbitofrontal, 1.0147059,0.79172,0.55557,0.2021650
Left lingual, 1.1982562,0.69850,0.44784,0.0885534
Left medial orbitofrontal, 0.9167553,0.73598,0.55557,0.2150590
Left middle temporal,-0.4294777,0.73019,0.72387,0.5573994
Left parahippocampal, 1.2192146,0.72269,0.44784,0.0939021
Left paracentral, 0.7697211,1.21282,0.72387,0.5267279
Left pars opercularis, 0.4379743,0.82290,0.72387,0.5954400
Left pars orbitalis, 0.4366900,0.74341,0.72387,0.5579058
Left pars triangularis,-0.1519830,0.87806,0.92713,0.8628400
Left pericalcarine, 0.1337736,0.79919,0.92713,0.8673165
Left postcentral, 0.9493156,1.38469,0.72387,0.4941525
Left posterior cingulate, 1.4075955,0.79193,0.44784,0.0777495
Left precentral, 0.9265053,1.36010,0.72387,0.4969103
Left precuneus, 0.2879945,1.12605,0.88408,0.7985275
Left rostral anterior cingulate, 0.8886023,0.63377,0.53249,0.1631836
Left rostral middle frontal, 0.4200665,0.78896,0.72387,0.5953009
Left superior frontal, 0.7320421,0.92817,0.70431,0.4316719
Left superior parietal, 1.9034271,1.58903,0.57802,0.2330726
Left superior temporal, 0.5169849,0.92055,0.72387,0.5753178
Left supramarginal, 0.8506865,1.11364,0.70946,0.4462740
Left transverse temporal, 1.3716638,0.70987,0.44784,0.0554204
Left insula, 0.4632925,0.55660,0.70343,0.4066709
Right caudal anterior cingulate, 0.6813867,0.52338,0.55557,0.1951699
Right caudal middle frontal, 1.4454672,1.01222,0.53249,0.1555945
Right cuneus, 1.1016147,1.23521,0.69549,0.3740617
Right entorhinal, 0.3066953,0.48724,0.72387,0.5301184
Right fusiform, 1.3924360,0.49033,0.32323,0.0052134
Right inferior parietal, 1.3967449,1.10005,0.55557,0.2063738
Right inferior temporal, 1.3296790,0.65854,0.44784,0.0454519
Right isthmus cingulate, 1.5382344,0.84579,0.44784,0.0711759
Right lateral occipital, 1.3870725,1.01395,0.53812,0.1735881
Right lateral orbitofrontal, 0.6459772,0.72226,0.69549,0.3727114
Right lingual, 1.3399474,0.69260,0.44784,0.0551246
Right medial orbitofrontal, 1.2212200,0.68727,0.44784,0.0778323
Right middle temporal, 0.4127626,0.77090,0.72387,0.5932318
Right parahippocampal, 1.2991125,0.65265,0.44784,0.0485534
Right paracentral, 1.0561145,1.20259,0.69549,0.3813964
Right pars opercularis, 0.0104323,0.79006,0.99926,0.9894842
Right pars orbitalis, 0.4656552,0.71694,0.72387,0.5171160
Right pars triangularis, 0.3817642,0.77364,0.74220,0.6224880
Right pericalcarine, 0.8155846,0.90240,0.69549,0.3677165
Right postcentral, 0.0011756,1.27209,0.99926,0.9992640
Right posterior cingulate, 1.6296152,0.71412,0.44784,0.0240540
Right precentral, 0.3382390,1.18056,0.87356,0.7749295
Right precuneus, 1.6836580,1.17729,0.53249,0.1549946
Right rostral anterior cingulate, 0.0287474,0.49295,0.99926,0.9535822
Right rostral middle frontal, 0.2252232,0.63369,0.83505,0.7228345
Right superior frontal, 0.9337900,0.83212,0.60580,0.2637763
Right superior parietal, 1.9441839,1.38210,0.53249,0.1618167
Right superior temporal, 0.8964356,0.82796,0.60580,0.2808715
Right supramarginal, 0.3642774,1.04245,0.83505,0.7273010
Right transverse temporal, 1.3257358,0.75883,0.44784,0.0828970
Right insula, 0.6350682,0.57220,0.60580,0.2690281
