ROI name,OR,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate,1.17832,0.21965, 0.747064,0.73651, 
Left caudal middle frontal,1.16683,0.28289, 0.545427,0.77231, 
Left cuneus,1.07869,0.32515, 0.232959,0.85727, 
Left entorhinal,1.04921,0.16615, 0.289122,0.85727, 
Left fusiform,0.94595,0.19082,-0.291180,0.85727, 
Left inferior parietal,0.83566,0.31361,-0.572482,0.77231, 
Left inferior temporal,0.89620,0.24114,-0.454486,0.83891, 
Left isthmus cingulate,0.95748,0.26494,-0.163991,0.89873, 
Left lateral occipital,0.72987,0.30067,-1.047295,0.62258, 
Left lateral orbitofrontal,1.49574,0.24067, 1.672929,0.42532, 
Left lingual,1.47346,0.21546, 1.799013,0.42532, 
Left medial orbitofrontal,0.88232,0.22406,-0.558767,0.77231, 
Left middle temporal,0.85489,0.21401,-0.732578,0.73651, 
Left parahippocampal,1.29216,0.21700, 1.181159,0.61364, 
Left paracentral,1.59273,0.38101, 1.221625,0.61364, 
Left pars opercularis,1.82894,0.25128, 2.402627,0.25231, 
Left pars orbitalis,1.42741,0.22252, 1.599267,0.42532, 
Left pars triangularis,1.18698,0.23915, 0.716778,0.73651, 
Left pericalcarine,0.84480,0.23291,-0.724093,0.73651, 
Left postcentral,2.27541,0.39309, 2.091551,0.37695, 
Left posterior cingulate,0.83037,0.25240,-0.736455,0.73651, 
Left precentral,2.44172,0.37047, 2.409623,0.25231, 
Left precuneus,1.34913,0.34855, 0.859161,0.73320, 
Left rostral anterior cingulate,0.99514,0.19444,-0.025068,0.98000, 
Left rostral middle frontal,0.94565,0.21050,-0.265506,0.85727, 
Left superior frontal,1.15271,0.25849, 0.549795,0.77231, 
Left superior parietal,2.09845,0.45654, 1.623524,0.42532, 
Left superior temporal,1.36660,0.27300, 1.144033,0.62258, 
Left supramarginal,1.21645,0.29032, 0.674889,0.74633, 
Left transverse temporal,1.48361,0.23144, 1.704431,0.42532, 
Left insula,1.33913,0.17828, 1.638023,0.42532, 
Right caudal anterior cingulate,1.20651,0.16963, 1.106708,0.62258, 
Right caudal middle frontal,1.34906,0.27888, 1.073613,0.62258, 
Right cuneus,1.13122,0.35610, 0.346246,0.85727, 
Right entorhinal,0.96174,0.14830,-0.263021,0.85727, 
Right fusiform,1.12174,0.17256, 0.665741,0.74633, 
Right inferior parietal,0.83019,0.31004,-0.600245,0.77231, 
Right inferior temporal,1.05436,0.21519, 0.245989,0.85727, 
Right isthmus cingulate,1.21946,0.27785, 0.714094,0.73651, 
Right lateral occipital,1.13399,0.31950, 0.393569,0.85727, 
Right lateral orbitofrontal,1.32638,0.22091, 1.278578,0.61364, 
Right lingual,1.43475,0.22405, 1.611216,0.42532, 
Right medial orbitofrontal,0.84634,0.21107,-0.790415,0.73651, 
Right middle temporal,0.97569,0.22613,-0.108854,0.92829, 
Right parahippocampal,1.77659,0.22077, 2.603175,0.25231, 
Right paracentral,2.05573,0.37979, 1.897444,0.42532, 
Right pars opercularis,1.47404,0.23682, 1.638418,0.42532, 
Right pars orbitalis,1.46153,0.21571, 1.759246,0.42532, 
Right pars triangularis,1.27810,0.22951, 1.069150,0.62258, 
Right pericalcarine,0.93681,0.24946,-0.261658,0.85727, 
Right postcentral,2.23697,0.36289, 2.218651,0.32873, 
Right posterior cingulate,1.26299,0.23543, 0.991728,0.62258, 
Right precentral,2.61671,0.34398, 2.796479,0.25231, 
Right precuneus,1.15153,0.36184, 0.389944,0.85727, 
Right rostral anterior cingulate,1.21920,0.15612, 1.269517,0.61364, 
Right rostral middle frontal,0.82651,0.18676,-1.020222,0.62258, 
Right superior frontal,1.08731,0.24548, 0.341005,0.85727, 
Right superior parietal,1.63761,0.38114, 1.294100,0.61364, 
Right superior temporal,1.35852,0.25766, 1.189158,0.61364, 
Right supramarginal,1.39412,0.28100, 1.182436,0.61364, 
Right transverse temporal,1.33141,0.23622, 1.211772,0.61364, 
Right insula,1.19585,0.17940, 0.996979,0.62258, 
