ROI name,Estimate,Std. Error,t value,p-value (FDR corrected)
Left caudal anterior cingulate,-0.01287331,0.048789,0.94461,0.7922564
Left caudal middle frontal, 0.00063138,0.030587,0.98356,0.9835587
Left cuneus, 0.04138584,0.039559,0.83038,0.2971682
Left entorhinal, 0.02255246,0.076205,0.93326,0.7676841
Left fusiform,-0.04661248,0.060229,0.86355,0.4402011
Left inferior parietal,-0.04705863,0.039631,0.79212,0.2369549
Left inferior temporal, 0.03483104,0.057457,0.86355,0.5452940
Left isthmus cingulate, 0.02310483,0.042161,0.86355,0.5845000
Left lateral occipital,-0.00510143,0.050596,0.98356,0.9198240
Left lateral orbitofrontal,-0.04695134,0.035119,0.79212,0.1832917
Left lingual,-0.03734083,0.053896,0.86355,0.4894937
Left medial orbitofrontal,-0.13469905,0.048320,0.21172,0.0060016
Left middle temporal,-0.01414186,0.045735,0.93326,0.7575904
Left parahippocampal,-0.03765983,0.063997,0.86355,0.5571130
Left paracentral, 0.06035698,0.028784,0.68868,0.0376925
Left pars opercularis, 0.01168052,0.037147,0.93326,0.7536292
Left pars orbitalis,-0.01511914,0.037213,0.88494,0.6851177
Left pars triangularis,-0.02532216,0.033735,0.86355,0.4540712
Left pericalcarine,-0.01087179,0.062921,0.98356,0.8630559
Left postcentral, 0.02208213,0.023269,0.83038,0.3441698
Left posterior cingulate, 0.01698520,0.038651,0.88494,0.6609700
Left precentral, 0.04614466,0.024587,0.68868,0.0625051
Left precuneus,-0.00521078,0.034652,0.98356,0.8806738
Left rostral anterior cingulate,-0.02900539,0.057200,0.86355,0.6128437
Left rostral middle frontal,-0.07099783,0.040925,0.68868,0.0848423
Left superior frontal, 0.00459622,0.026922,0.98356,0.8646718
Left superior parietal, 0.03481905,0.029522,0.79212,0.2401116
Left superior temporal,-0.02516255,0.026740,0.83038,0.3482240
Left supramarginal, 0.01493231,0.026883,0.86355,0.5794229
Left transverse temporal,-0.05323291,0.043899,0.79212,0.2271883
Left insula,-0.00265178,0.053029,0.98356,0.9601843
Right caudal anterior cingulate, 0.04725740,0.056076,0.85673,0.4007282
Right caudal middle frontal, 0.02384284,0.032624,0.86355,0.4660301
Right cuneus, 0.05924517,0.044938,0.79212,0.1894017
Right entorhinal, 0.03526459,0.075315,0.88220,0.6403078
Right fusiform,-0.05419322,0.054609,0.83038,0.3226163
Right inferior parietal, 0.00091478,0.042233,0.98356,0.9827478
Right inferior temporal, 0.00152260,0.047908,0.98356,0.9746884
Right isthmus cingulate,-0.05196011,0.044304,0.79212,0.2427480
Right lateral occipital, 0.04982912,0.041275,0.79212,0.2292554
Right lateral orbitofrontal, 0.01598688,0.037731,0.88494,0.6723911
Right lingual, 0.08170980,0.050977,0.68868,0.1110773
Right medial orbitofrontal,-0.03382935,0.048946,0.86355,0.4905422
Right middle temporal,-0.06307025,0.037757,0.68868,0.0969304
Right parahippocampal,-0.04590507,0.051020,0.84897,0.3697106
Right paracentral, 0.08002153,0.029170,0.21172,0.0068297
Right pars opercularis, 0.02016806,0.033061,0.86355,0.5427751
Right pars orbitalis, 0.00311879,0.046808,0.98356,0.9469659
Right pars triangularis, 0.02565706,0.041272,0.86355,0.5351170
Right pericalcarine, 0.02968372,0.056768,0.86355,0.6018209
Right postcentral, 0.02463417,0.022771,0.83038,0.2810794
Right posterior cingulate, 0.04737736,0.039742,0.79212,0.2351052
Right precentral, 0.04761291,0.025838,0.68868,0.0673503
Right precuneus,-0.00449858,0.032499,0.98356,0.8900944
Right rostral anterior cingulate,-0.03747917,0.068532,0.86355,0.5852758
Right rostral middle frontal,-0.04680660,0.047748,0.83038,0.3285320
Right superior frontal,-0.01619474,0.027573,0.86355,0.5578695
Right superior parietal, 0.05068880,0.027529,0.68868,0.0675713
Right superior temporal,-0.02696774,0.028606,0.83038,0.3473497
Right supramarginal, 0.02662349,0.030804,0.85673,0.3888188
Right transverse temporal,-0.07313640,0.045163,0.68868,0.1074792
Right insula, 0.06879262,0.057230,0.79212,0.2312547
