ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate,-0.00175403,NA,NA,NA,
Left caudal middle frontal,-0.11539936,NA,NA,NA,
Left cuneus,-0.08227453,NA,NA,NA,
Left entorhinal,-0.08226578,NA,NA,NA,
Left fusiform,-0.16832237,NA,NA,NA,
Left inferior parietal,-0.11557341,NA,NA,NA,
Left inferior temporal,-0.11302867,NA,NA,NA,
Left isthmus cingulate,-0.09386330,NA,NA,NA,
Left lateral occipital,-0.07885631,NA,NA,NA,
Left lateral orbitofrontal,-0.07190585,NA,NA,NA,
Left lingual,-0.10787862,NA,NA,NA,
Left medial orbitofrontal,-0.05724400,NA,NA,NA,
Left middle temporal,-0.03212296,NA,NA,NA,
Left parahippocampal,-0.12450616,NA,NA,NA,
Left paracentral, 0.01277213,NA,NA,NA,
Left pars opercularis,-0.07400619,NA,NA,NA,
Left pars orbitalis,-0.00120888,NA,NA,NA,
Left pars triangularis,-0.04592820,NA,NA,NA,
Left pericalcarine,-0.06096945,NA,NA,NA,
Left postcentral,-0.07558084,NA,NA,NA,
Left posterior cingulate, 0.02139414,NA,NA,NA,
Left precentral,-0.05065043,NA,NA,NA,
Left precuneus,-0.09187111,NA,NA,NA,
Left rostral anterior cingulate, 0.00171484,NA,NA,NA,
Left rostral middle frontal,-0.08590061,NA,NA,NA,
Left superior frontal, 0.00100042,NA,NA,NA,
Left superior parietal,-0.00015611,NA,NA,NA,
Left superior temporal,-0.13790401,NA,NA,NA,
Left supramarginal,-0.02874015,NA,NA,NA,
Left transverse temporal,-0.18096361,NA,NA,NA,
Left insula,-0.05458629,NA,NA,NA,
Right caudal anterior cingulate, 0.07143386,NA,NA,NA,
Right caudal middle frontal,-0.00166249,NA,NA,NA,
Right cuneus,-0.02512492,NA,NA,NA,
Right entorhinal,-0.08006545,NA,NA,NA,
Right fusiform,-0.17097471,NA,NA,NA,
Right inferior parietal,-0.09001424,NA,NA,NA,
Right inferior temporal,-0.16125248,NA,NA,NA,
Right isthmus cingulate,-0.21266638,NA,NA,NA,
Right lateral occipital,-0.07773743,NA,NA,NA,
Right lateral orbitofrontal,-0.03391983,NA,NA,NA,
Right lingual,-0.03858080,NA,NA,NA,
Right medial orbitofrontal, 0.02120175,NA,NA,NA,
Right middle temporal,-0.14747545,NA,NA,NA,
Right parahippocampal,-0.13299206,NA,NA,NA,
Right paracentral, 0.07781428,NA,NA,NA,
Right pars opercularis,-0.06047290,NA,NA,NA,
Right pars orbitalis,-0.01782126,NA,NA,NA,
Right pars triangularis, 0.05743009,NA,NA,NA,
Right pericalcarine,-0.05156747,NA,NA,NA,
Right postcentral,-0.12385509,NA,NA,NA,
Right posterior cingulate, 0.06890949,NA,NA,NA,
Right precentral,-0.07926735,NA,NA,NA,
Right precuneus,-0.14784931,NA,NA,NA,
Right rostral anterior cingulate, 0.02419278,NA,NA,NA,
Right rostral middle frontal, 0.05685077,NA,NA,NA,
Right superior frontal, 0.10295674,NA,NA,NA,
Right superior parietal,-0.09677452,NA,NA,NA,
Right superior temporal,-0.13635667,NA,NA,NA,
Right supramarginal,-0.10809513,NA,NA,NA,
Right transverse temporal,-0.19795460,NA,NA,NA,
Right insula,-0.02955192,NA,NA,NA,
