ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate,-0.147725,0.156970,-0.941104,0.92514, 
Left caudal middle frontal,-0.013323,0.103158,-0.129154,0.92514, 
Left cuneus, 0.171141,0.117238, 1.459771,0.92514, 
Left entorhinal, 0.187372,0.209388, 0.894858,0.92514, 
Left fusiform, 0.267014,0.191908, 1.391360,0.92514, 
Left inferior parietal, 0.021076,0.147258, 0.143121,0.92514, 
Left inferior temporal, 0.185967,0.161733, 1.149843,0.92514, 
Left isthmus cingulate,-0.029118,0.122757,-0.237200,0.92514, 
Left lateral occipital,-0.054376,0.158182,-0.343756,0.92514, 
Left lateral orbitofrontal, 0.149619,0.142754, 1.048094,0.92514, 
Left lingual,-0.012538,0.167125,-0.075024,0.94029, 
Left medial orbitofrontal,-0.131945,0.162940,-0.809778,0.92514, 
Left middle temporal,-0.029971,0.163079,-0.183781,0.92514, 
Left parahippocampal,-0.033236,0.204466,-0.162553,0.92514, 
Left paracentral, 0.089248,0.093277, 0.956806,0.92514, 
Left pars opercularis,-0.083984,0.119505,-0.702760,0.92514, 
Left pars orbitalis,-0.092065,0.142196,-0.647454,0.92514, 
Left pars triangularis,-0.026039,0.127045,-0.204958,0.92514, 
Left pericalcarine,-0.106966,0.163635,-0.653689,0.92514, 
Left postcentral,-0.032487,0.093856,-0.346141,0.92514, 
Left posterior cingulate,-0.056802,0.119224,-0.476430,0.92514, 
Left precentral,-0.034344,0.097809,-0.351135,0.92514, 
Left precuneus, 0.191876,0.109475, 1.752690,0.92514, 
Left rostral anterior cingulate,-0.221218,0.173927,-1.271902,0.92514, 
Left rostral middle frontal, 0.089386,0.145559, 0.614084,0.92514, 
Left superior frontal, 0.145710,0.110221, 1.321975,0.92514, 
Left superior parietal, 0.032557,0.089092, 0.365432,0.92514, 
Left superior temporal,-0.038790,0.123739,-0.313478,0.92514, 
Left supramarginal,-0.077144,0.123219,-0.626073,0.92514, 
Left transverse temporal,-0.119341,0.141370,-0.844173,0.92514, 
Left insula,-0.236195,0.160117,-1.475138,0.92514, 
Right caudal anterior cingulate, 0.083831,0.181562, 0.461723,0.92514, 
Right caudal middle frontal,-0.031078,0.116129,-0.267618,0.92514, 
Right cuneus, 0.037706,0.132348, 0.284900,0.92514, 
Right entorhinal, 0.112139,0.225646, 0.496969,0.92514, 
Right fusiform, 0.248753,0.193695, 1.284251,0.92514, 
Right inferior parietal,-0.019175,0.146197,-0.131155,0.92514, 
Right inferior temporal, 0.157376,0.165148, 0.952939,0.92514, 
Right isthmus cingulate,-0.078395,0.120553,-0.650294,0.92514, 
Right lateral occipital,-0.117263,0.148935,-0.787343,0.92514, 
Right lateral orbitofrontal, 0.015575,0.137890, 0.112951,0.92514, 
Right lingual,-0.094430,0.182481,-0.517476,0.92514, 
Right medial orbitofrontal, 0.085990,0.163292, 0.526602,0.92514, 
Right middle temporal, 0.063252,0.128923, 0.490614,0.92514, 
Right parahippocampal, 0.196330,0.174569, 1.124657,0.92514, 
Right paracentral, 0.032534,0.088072, 0.369407,0.92514, 
Right pars opercularis,-0.066771,0.115431,-0.578448,0.92514, 
Right pars orbitalis,-0.122741,0.140174,-0.875636,0.92514, 
Right pars triangularis,-0.220483,0.119550,-1.844278,0.92514, 
Right pericalcarine,-0.143044,0.176449,-0.810685,0.92514, 
Right postcentral,-0.053273,0.091305,-0.583459,0.92514, 
Right posterior cingulate,-0.083519,0.137548,-0.607199,0.92514, 
Right precentral,-0.124945,0.103776,-1.203982,0.92514, 
Right precuneus, 0.036065,0.104295, 0.345797,0.92514, 
Right rostral anterior cingulate, 0.060718,0.178589, 0.339989,0.92514, 
Right rostral middle frontal, 0.023354,0.139167, 0.167816,0.92514, 
Right superior frontal, 0.092955,0.112176, 0.828656,0.92514, 
Right superior parietal, 0.115497,0.084952, 1.359545,0.92514, 
Right superior temporal, 0.027865,0.119432, 0.233316,0.92514, 
Right supramarginal,-0.032968,0.111214,-0.296443,0.92514, 
Right transverse temporal,-0.047136,0.138971,-0.339178,0.92514, 
Right insula,-0.107494,0.165618,-0.649048,0.92514, 
