ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate,-0.147736,0.125533,-1.176869,0.86423, 
Left caudal middle frontal,-0.013331,0.077306,-0.172447,0.88982, 
Left cuneus, 0.171135,0.103102, 1.659867,0.83402, 
Left entorhinal, 0.187363,0.193444, 0.968563,0.86423, 
Left fusiform, 0.267001,0.157031, 1.700302,0.83402, 
Left inferior parietal, 0.021064,0.107355, 0.196209,0.88982, 
Left inferior temporal, 0.185956,0.132159, 1.407066,0.83402, 
Left isthmus cingulate,-0.029127,0.094210,-0.309173,0.88542, 
Left lateral occipital,-0.054386,0.130203,-0.417705,0.87654, 
Left lateral orbitofrontal, 0.149608,0.105154, 1.422753,0.83402, 
Left lingual,-0.012548,0.145608,-0.086176,0.93144, 
Left medial orbitofrontal,-0.131956,0.131519,-1.003329,0.86423, 
Left middle temporal,-0.029984,0.115293,-0.260068,0.88982, 
Left parahippocampal,-0.033247,0.181805,-0.182874,0.88982, 
Left paracentral, 0.089243,0.081560, 1.094205,0.86423, 
Left pars opercularis,-0.083992,0.092383,-0.909174,0.86423, 
Left pars orbitalis,-0.092076,0.105333,-0.874145,0.86423, 
Left pars triangularis,-0.026049,0.089406,-0.291359,0.88542, 
Left pericalcarine,-0.106973,0.153554,-0.696650,0.87654, 
Left postcentral,-0.032494,0.073097,-0.444534,0.87654, 
Left posterior cingulate,-0.056811,0.091305,-0.622213,0.87654, 
Left precentral,-0.034351,0.080395,-0.427272,0.87654, 
Left precuneus, 0.191869,0.085707, 2.238667,0.82495, 
Left rostral anterior cingulate,-0.221230,0.142989,-1.547182,0.83402, 
Left rostral middle frontal, 0.089374,0.107557, 0.830947,0.86423, 
Left superior frontal, 0.145701,0.083174, 1.751772,0.83402, 
Left superior parietal, 0.032551,0.070912, 0.459035,0.87654, 
Left superior temporal,-0.038800,0.082674,-0.469314,0.87654, 
Left supramarginal,-0.077154,0.088215,-0.874612,0.86423, 
Left transverse temporal,-0.119349,0.123410,-0.967089,0.86423, 
Left insula,-0.236206,0.125551,-1.881363,0.83402, 
Right caudal anterior cingulate, 0.083821,0.156254, 0.536439,0.87654, 
Right caudal middle frontal,-0.031087,0.089207,-0.348482,0.88063, 
Right cuneus, 0.037698,0.112761, 0.334317,0.88063, 
Right entorhinal, 0.112134,0.221082, 0.507203,0.87654, 
Right fusiform, 0.248740,0.157988, 1.574426,0.83402, 
Right inferior parietal,-0.019185,0.111290,-0.172391,0.88982, 
Right inferior temporal, 0.157364,0.129914, 1.211301,0.86423, 
Right isthmus cingulate,-0.078403,0.096207,-0.814943,0.86423, 
Right lateral occipital,-0.117273,0.122217,-0.959549,0.86423, 
Right lateral orbitofrontal, 0.015564,0.099146, 0.156977,0.88982, 
Right lingual,-0.094441,0.155001,-0.609293,0.87654, 
Right medial orbitofrontal, 0.085979,0.133701, 0.643072,0.87654, 
Right middle temporal, 0.063241,0.088090, 0.717907,0.87654, 
Right parahippocampal, 0.196321,0.156751, 1.252439,0.86423, 
Right paracentral, 0.032529,0.077317, 0.420725,0.87654, 
Right pars opercularis,-0.066779,0.089214,-0.748526,0.87654, 
Right pars orbitalis,-0.122751,0.108704,-1.129222,0.86423, 
Right pars triangularis,-0.220493,0.090809,-2.428087,0.82495, 
Right pericalcarine,-0.143052,0.162625,-0.879644,0.86423, 
Right postcentral,-0.053279,0.069307,-0.768744,0.87654, 
Right posterior cingulate,-0.083530,0.102898,-0.811772,0.86423, 
Right precentral,-0.124951,0.086783,-1.439809,0.83402, 
Right precuneus, 0.036056,0.075072, 0.480292,0.87654, 
Right rostral anterior cingulate, 0.060707,0.152916, 0.396999,0.87654, 
Right rostral middle frontal, 0.023344,0.105731, 0.220786,0.88982, 
Right superior frontal, 0.092946,0.079112, 1.174875,0.86423, 
Right superior parietal, 0.115491,0.068304, 1.690822,0.83402, 
Right superior temporal, 0.027855,0.079510, 0.350335,0.88063, 
Right supramarginal,-0.032977,0.083302,-0.395875,0.87654, 
Right transverse temporal,-0.047145,0.117304,-0.401903,0.87654, 
Right insula,-0.107507,0.127196,-0.845202,0.86423, 
