ROI name,Estimate,Std. Error,t value,p-value (FDR corrected)
Left caudal anterior cingulate, 0.03248389,0.063280,0.97660,0.608410
Left caudal middle frontal, 0.02049171,0.037931,0.97660,0.589766
Left cuneus,-0.00980928,0.047836,0.97660,0.837780
Left entorhinal,-0.00694337,0.084903,0.97928,0.934921
Left fusiform, 0.03764798,0.059307,0.97660,0.526443
Left inferior parietal, 0.00750807,0.041027,0.97660,0.855023
Left inferior temporal,-0.00210727,0.051599,0.97928,0.967474
Left isthmus cingulate, 0.01584468,0.045448,0.97660,0.727810
Left lateral occipital, 0.01158264,0.051073,0.97660,0.820871
Left lateral orbitofrontal, 0.02568264,0.043559,0.97660,0.556266
Left lingual, 0.10975224,0.074647,0.97660,0.143403
Left medial orbitofrontal, 0.04246937,0.060659,0.97660,0.484834
Left middle temporal,-0.04912999,0.049451,0.97660,0.321922
Left parahippocampal, 0.10036998,0.069764,0.97660,0.152139
Left paracentral,-0.04099233,0.036551,0.97660,0.263715
Left pars opercularis, 0.01737355,0.040749,0.97660,0.670412
Left pars orbitalis, 0.05571211,0.045738,0.97660,0.224942
Left pars triangularis, 0.00688589,0.041985,0.97660,0.869927
Left pericalcarine, 0.06675707,0.075007,0.97660,0.374765
Left postcentral, 0.00191552,0.030753,0.97928,0.950410
Left posterior cingulate,-0.02929916,0.038573,0.97660,0.448600
Left precentral, 0.01301809,0.036572,0.97660,0.722330
Left precuneus,-0.04710285,0.039129,0.97660,0.230402
Left rostral anterior cingulate,-0.03696363,0.077766,0.97660,0.635192
Left rostral middle frontal,-0.03036300,0.054554,0.97660,0.578584
Left superior frontal,-0.04471870,0.038577,0.97660,0.248062
Left superior parietal,-0.01732023,0.029033,0.97660,0.551611
Left superior temporal,-0.05263579,0.029905,0.97660,0.080253
Left supramarginal, 0.00096581,0.037132,0.97928,0.979281
Left transverse temporal,-0.02871457,0.048251,0.97660,0.552589
Left insula, 0.01885559,0.060237,0.97660,0.754661
Right caudal anterior cingulate,-0.02227914,0.073403,0.97660,0.761879
Right caudal middle frontal, 0.00862067,0.037511,0.97660,0.818519
Right cuneus,-0.02523197,0.046192,0.97660,0.585646
Right entorhinal,-0.12956234,0.103166,0.97660,0.210954
Right fusiform, 0.03819686,0.067659,0.97660,0.573150
Right inferior parietal,-0.01520316,0.042272,0.97660,0.719572
Right inferior temporal,-0.01805342,0.054611,0.97660,0.741381
Right isthmus cingulate, 0.00555392,0.037386,0.97660,0.882087
Right lateral occipital, 0.03537684,0.049409,0.97660,0.475014
Right lateral orbitofrontal, 0.03632254,0.048842,0.97660,0.458134
Right lingual, 0.07952925,0.067376,0.97660,0.239559
Right medial orbitofrontal,-0.02329360,0.055694,0.97660,0.676315
Right middle temporal,-0.05197179,0.042140,0.97660,0.219227
Right parahippocampal,-0.01317466,0.061703,0.97660,0.831189
Right paracentral,-0.02392738,0.035103,0.97660,0.496429
Right pars opercularis, 0.05622513,0.039041,0.97660,0.151729
Right pars orbitalis, 0.04917553,0.047566,0.97660,0.302731
Right pars triangularis, 0.03281067,0.041867,0.97660,0.434357
Right pericalcarine, 0.01639501,0.069831,0.97660,0.814670
Right postcentral,-0.00619827,0.030756,0.97660,0.840533
Right posterior cingulate,-0.04262872,0.041451,0.97660,0.305267
Right precentral,-0.00140520,0.040147,0.97928,0.972121
Right precuneus,-0.02211092,0.031627,0.97660,0.485466
Right rostral anterior cingulate,-0.00965318,0.079418,0.97928,0.903405
Right rostral middle frontal,-0.01667907,0.058071,0.97660,0.774306
Right superior frontal,-0.04989910,0.040869,0.97660,0.223862
Right superior parietal,-0.01481085,0.033187,0.97660,0.655980
Right superior temporal,-0.07576701,0.032067,0.97660,0.019312
Right supramarginal, 0.03629296,0.038350,0.97660,0.345361
Right transverse temporal,-0.03626809,0.045670,0.97660,0.428265
Right insula, 0.01440186,0.062988,0.97660,0.819430
