ROI name,OR,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate,1.227977,0.63648, 0.32266194,0.93849, 
Left caudal middle frontal,1.085291,1.09271, 0.07490384,0.97163, 
Left cuneus,1.129106,0.83109, 0.14610405,0.94479, 
Left entorhinal,1.282108,0.44801, 0.55468616,0.93849, 
Left fusiform,1.715475,0.53542, 1.00797012,0.83904, 
Left inferior parietal,1.509504,0.77085, 0.53418915,0.93849, 
Left inferior temporal,1.198456,0.61084, 0.29636992,0.93849, 
Left isthmus cingulate,1.714794,0.85272, 0.63243696,0.93849, 
Left lateral occipital,1.457007,0.60814, 0.61891189,0.93849, 
Left lateral orbitofrontal,1.634860,0.78752, 0.62418058,0.93849, 
Left lingual,3.810871,0.64005, 2.09024887,0.75103, 
Left medial orbitofrontal,1.298500,0.61829, 0.42246868,0.93849, 
Left middle temporal,0.529694,0.71819,-0.88480564,0.89724, 
Left parahippocampal,2.076124,0.47541, 1.53658498,0.83814, 
Left paracentral,0.331307,1.04660,-1.05552242,0.83904, 
Left pars opercularis,1.324263,0.88167, 0.31854896,0.93849, 
Left pars orbitalis,2.551062,0.79174, 1.18285047,0.83904, 
Left pars triangularis,0.850935,0.93414,-0.17280047,0.93849, 
Left pericalcarine,1.963981,0.55625, 1.21343596,0.83904, 
Left postcentral,1.280321,1.16843, 0.21148979,0.93849, 
Left posterior cingulate,0.375026,0.87634,-1.11914792,0.83904, 
Left precentral,2.620893,1.05939, 0.90950420,0.89724, 
Left precuneus,0.343564,0.96793,-1.10378090,0.83904, 
Left rostral anterior cingulate,0.553539,0.58458,-1.01170760,0.83904, 
Left rostral middle frontal,0.347601,0.79546,-1.32842111,0.83904, 
Left superior frontal,0.206211,1.00812,-1.56613685,0.83814, 
Left superior parietal,0.622344,1.25582,-0.37765218,0.93849, 
Left superior temporal,0.164866,1.00434,-1.79483391,0.75103, 
Left supramarginal,0.673507,0.95844,-0.41239535,0.93849, 
Left transverse temporal,0.396585,0.68257,-1.35496528,0.83904, 
Left insula,1.322561,0.64650, 0.43243758,0.93849, 
Right caudal anterior cingulate,0.799972,0.51480,-0.43352586,0.93849, 
Right caudal middle frontal,0.704842,0.96609,-0.36206065,0.93849, 
Right cuneus,0.822884,0.76634,-0.25437596,0.93849, 
Right entorhinal,0.641185,0.40255,-1.10405715,0.83904, 
Right fusiform,1.664008,0.51716, 0.98466010,0.83904, 
Right inferior parietal,0.707728,0.73957,-0.46742447,0.93849, 
Right inferior temporal,0.989927,0.61902,-0.01635436,0.99967, 
Right isthmus cingulate,1.098595,0.85234, 0.11032255,0.95853, 
Right lateral occipital,1.954851,0.65828, 1.01827871,0.83904, 
Right lateral orbitofrontal,1.516351,0.81096, 0.51334932,0.93849, 
Right lingual,2.265686,0.54745, 1.49396908,0.83814, 
Right medial orbitofrontal,0.739531,0.61016,-0.49452065,0.93849, 
Right middle temporal,0.147282,0.92811,-2.06377504,0.75103, 
Right parahippocampal,0.885521,0.51782,-0.23478998,0.93849, 
Right paracentral,0.509092,1.14030,-0.59205790,0.93849, 
Right pars opercularis,2.836072,0.91032, 1.14511843,0.83904, 
Right pars orbitalis,1.529766,0.73588, 0.57769938,0.93849, 
Right pars triangularis,0.999623,0.91087,-0.00041434,0.99967, 
Right pericalcarine,1.130918,0.53335, 0.23067379,0.93849, 
Right postcentral,0.465219,1.19485,-0.64045350,0.93849, 
Right posterior cingulate,0.239656,0.77465,-1.84413010,0.75103, 
Right precentral,0.829493,1.01896,-0.18346343,0.93849, 
Right precuneus,0.519504,1.08878,-0.60148119,0.93849, 
Right rostral anterior cingulate,0.879085,0.54739,-0.23543053,0.93849, 
Right rostral middle frontal,0.369541,0.78454,-1.26888709,0.83904, 
Right superior frontal,0.131364,1.06088,-1.91329683,0.75103, 
Right superior parietal,0.780994,1.26106,-0.19601589,0.93849, 
Right superior temporal,0.074082,1.02866,-2.53005823,0.70707, 
Right supramarginal,1.620790,0.98680, 0.48937414,0.93849, 
Right transverse temporal,0.319566,0.70651,-1.61468475,0.83814, 
Right insula,1.285286,0.63788, 0.39346182,0.93849, 
