ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate,-0.5843878,1.2734,-0.4589324,0.93712, 
Left caudal middle frontal, 1.4636272,2.8483, 0.5138619,0.93712, 
Left cuneus,-2.2086745,2.3403,-0.9437459,0.93712, 
Left entorhinal, 1.3229414,1.3915, 0.9507464,0.93712, 
Left fusiform, 0.5366070,1.3424, 0.3997354,0.93712, 
Left inferior parietal,-1.9210708,1.7197,-1.1171100,0.93712, 
Left inferior temporal,-0.3928655,1.4837,-0.2647843,0.93712, 
Left isthmus cingulate, 0.9237331,1.8807, 0.4911615,0.93712, 
Left lateral occipital,-2.0329459,1.7438,-1.1658401,0.93712, 
Left lateral orbitofrontal,-2.4288055,1.7341,-1.4006526,0.93712, 
Left lingual,-1.6097048,1.5632,-1.0297273,0.93712, 
Left medial orbitofrontal,-1.4221967,1.7965,-0.7916697,0.93712, 
Left middle temporal,-0.0822539,1.6758,-0.0490827,0.99312, 
Left parahippocampal, 1.4762783,1.4280, 1.0338396,0.93712, 
Left paracentral, 1.7558703,3.2474, 0.5407001,0.93712, 
Left pars opercularis, 0.3024386,2.0280, 0.1491295,0.94300, 
Left pars orbitalis,-0.6551115,2.0763,-0.3155130,0.93712, 
Left pars triangularis, 0.6932060,1.8744, 0.3698349,0.93712, 
Left pericalcarine,-0.3296912,1.6961,-0.1943773,0.93712, 
Left postcentral,-0.0796650,3.0281,-0.0263090,0.99519, 
Left posterior cingulate,-1.9070105,1.9031,-1.0020516,0.93712, 
Left precentral,-3.6327323,2.9356,-1.2374600,0.93712, 
Left precuneus,-1.0025232,2.4721,-0.4055289,0.93712, 
Left rostral anterior cingulate, 0.2446032,1.2941, 0.1890085,0.93712, 
Left rostral middle frontal, 1.1472925,1.7382, 0.6600570,0.93712, 
Left superior frontal, 1.5318757,2.3075, 0.6638581,0.93712, 
Left superior parietal,-4.1033885,2.8719,-1.4287894,0.93712, 
Left superior temporal, 0.3952884,2.1422, 0.1845235,0.93712, 
Left supramarginal, 0.8653106,1.9685, 0.4395877,0.93712, 
Left transverse temporal,-0.4265201,1.5171,-0.2811416,0.93712, 
Left insula,-0.8631290,1.1937,-0.7230567,0.93712, 
Right caudal anterior cingulate,-1.4064902,1.2229,-1.1501145,0.93712, 
Right caudal middle frontal, 1.4135193,2.1592, 0.6546369,0.93712, 
Right cuneus,-2.1509454,2.4081,-0.8932221,0.93712, 
Right entorhinal, 0.9083599,1.2267, 0.7404853,0.93712, 
Right fusiform, 0.3308435,1.2961, 0.2552523,0.93712, 
Right inferior parietal,-2.4115555,1.7565,-1.3729113,0.93712, 
Right inferior temporal,-0.6949775,1.5091,-0.4605236,0.93712, 
Right isthmus cingulate, 1.9155278,2.2609, 0.8472390,0.93712, 
Right lateral occipital,-1.7998412,2.3455,-0.7673581,0.93712, 
Right lateral orbitofrontal,-2.8310892,1.6934,-1.6718259,0.93712, 
Right lingual,-0.8827229,1.5667,-0.5634188,0.93712, 
Right medial orbitofrontal, 0.5263018,1.8695, 0.2815143,0.93712, 
Right middle temporal,-2.3491127,1.8040,-1.3022000,0.93712, 
Right parahippocampal, 0.5281862,1.5755, 0.3352517,0.93712, 
Right paracentral, 0.7784480,3.2944, 0.2362952,0.93712, 
Right pars opercularis, 0.0066695,2.1957, 0.0030375,0.99759, 
Right pars orbitalis,-2.8733137,1.8458,-1.5566580,0.93712, 
Right pars triangularis, 1.1038923,2.1879, 0.5045484,0.93712, 
Right pericalcarine,-0.1128735,1.5309,-0.0737293,0.98945, 
Right postcentral,-0.9938954,2.9450,-0.3374832,0.93712, 
Right posterior cingulate,-0.9881614,1.8243,-0.5416586,0.93712, 
Right precentral,-1.0688150,2.4902,-0.4292014,0.93712, 
Right precuneus,-1.3433258,2.5449,-0.5278599,0.93712, 
Right rostral anterior cingulate, 0.2596426,1.4796, 0.1754840,0.93712, 
Right rostral middle frontal, 1.5495460,1.8191, 0.8518097,0.93712, 
Right superior frontal, 2.6268754,2.2824, 1.1509113,0.93712, 
Right superior parietal,-6.5882233,2.9999,-2.1961341,0.93712, 
Right superior temporal,-1.6247526,2.0412,-0.7959759,0.93712, 
Right supramarginal,-1.0201643,2.6348,-0.3871945,0.93712, 
Right transverse temporal, 0.4365212,1.6762, 0.2604192,0.93712, 
Right insula,-0.2118185,1.1228,-0.1886532,0.93712, 
