ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate,-0.15703202,0.182397,-0.8609341,0.79585, 
Left caudal middle frontal, 0.09697634,0.151162, 0.6415390,0.85030, 
Left cuneus, 0.10764887,0.128613, 0.8369988,0.79585, 
Left entorhinal,-0.16497172,0.269612,-0.6118863,0.85030, 
Left fusiform,-0.17155406,0.250603,-0.6845642,0.84699, 
Left inferior parietal, 0.17612625,0.120482, 1.4618410,0.79585, 
Left inferior temporal, 0.02285866,0.191202, 0.1195523,0.93512, 
Left isthmus cingulate,-0.12089749,0.151976,-0.7955012,0.80270, 
Left lateral occipital,-0.04824336,0.118307,-0.4077801,0.88332, 
Left lateral orbitofrontal, 0.07834092,0.170182, 0.4603362,0.88332, 
Left lingual,-0.33793987,0.202989,-1.6648149,0.79585, 
Left medial orbitofrontal, 0.05214260,0.166367, 0.3134183,0.89902, 
Left middle temporal, 0.33163526,0.174888, 1.8962725,0.79585, 
Left parahippocampal,-0.12995289,0.188589,-0.6890808,0.84699, 
Left paracentral,-0.06046631,0.110740,-0.5460192,0.86558, 
Left pars opercularis, 0.17572416,0.154220, 1.1394393,0.79585, 
Left pars orbitalis, 0.39499648,0.182276, 2.1670258,0.64864, 
Left pars triangularis, 0.38384930,0.154655, 2.4819638,0.64864, 
Left pericalcarine,-0.04159446,0.168392,-0.2470103,0.89902, 
Left postcentral, 0.12264402,0.097588, 1.2567482,0.79585, 
Left posterior cingulate,-0.16686333,0.169155,-0.9864551,0.79585, 
Left precentral, 0.16996399,0.111070, 1.5302374,0.79585, 
Left precuneus,-0.05947468,0.134309,-0.4428212,0.88332, 
Left rostral anterior cingulate,-0.24693656,0.192433,-1.2832327,0.79585, 
Left rostral middle frontal, 0.25167357,0.184135, 1.3667869,0.79585, 
Left superior frontal, 0.12993941,0.157648, 0.8242355,0.79585, 
Left superior parietal, 0.11408184,0.096811, 1.1783990,0.79585, 
Left superior temporal, 0.15705429,0.149033, 1.0538228,0.79585, 
Left supramarginal, 0.31982784,0.140289, 2.2797770,0.64864, 
Left transverse temporal,-0.00405201,0.153780,-0.0263494,0.99505, 
Left insula,-0.04572264,0.202506,-0.2257838,0.89902, 
Right caudal anterior cingulate,-0.04117777,0.225862,-0.1823141,0.89902, 
Right caudal middle frontal, 0.14248651,0.139904, 1.0184561,0.79585, 
Right cuneus, 0.03675527,0.109113, 0.3368543,0.89902, 
Right entorhinal, 0.05677219,0.287911, 0.1971866,0.89902, 
Right fusiform,-0.17551801,0.263110,-0.6670910,0.84699, 
Right inferior parietal, 0.06009306,0.128531, 0.4675378,0.88332, 
Right inferior temporal, 0.08905234,0.212080, 0.4198990,0.88332, 
Right isthmus cingulate,-0.12911900,0.146798,-0.8795674,0.79585, 
Right lateral occipital,-0.11274427,0.120689,-0.9341715,0.79585, 
Right lateral orbitofrontal,-0.05367646,0.183453,-0.2925901,0.89902, 
Right lingual,-0.28797374,0.184064,-1.5645299,0.79585, 
Right medial orbitofrontal, 0.06907098,0.184378, 0.3746165,0.89626, 
Right middle temporal, 0.24284343,0.210460, 1.1538681,0.79585, 
Right parahippocampal,-0.04316975,0.197578,-0.2184953,0.89902, 
Right paracentral, 0.00035401,0.110323, 0.0032088,0.99744, 
Right pars opercularis, 0.20743234,0.178231, 1.1638398,0.79585, 
Right pars orbitalis, 0.11306031,0.207459, 0.5449757,0.86558, 
Right pars triangularis, 0.26847914,0.195145, 1.3757959,0.79585, 
Right pericalcarine, 0.06330642,0.148350, 0.4267355,0.88332, 
Right postcentral, 0.09764290,0.108055, 0.9036419,0.79585, 
Right posterior cingulate,-0.27336809,0.179197,-1.5255169,0.79585, 
Right precentral, 0.13363630,0.124806, 1.0707500,0.79585, 
Right precuneus, 0.06787191,0.112954, 0.6008803,0.85030, 
Right rostral anterior cingulate,-0.04902046,0.237224,-0.2066421,0.89902, 
Right rostral middle frontal, 0.21851728,0.191651, 1.1401806,0.79585, 
Right superior frontal, 0.15885807,0.156821, 1.0129898,0.79585, 
Right superior parietal, 0.07845580,0.103618, 0.7571613,0.82026, 
Right superior temporal, 0.15444445,0.176915, 0.8729854,0.79585, 
Right supramarginal, 0.14099375,0.151780, 0.9289374,0.79585, 
Right transverse temporal,-0.03331242,0.175076,-0.1902739,0.89902, 
Right insula,-0.26868342,0.201814,-1.3313420,0.79585, 
