ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate, 3.847042,1.7149, 2.2432866,0.434966, 
Left caudal middle frontal, 1.760535,2.0572, 0.8557925,0.906133, 
Left cuneus, 2.412260,2.2017, 1.0956460,0.856968, 
Left entorhinal,-3.913287,1.1175,-3.5019081,0.046528,*
Left fusiform,-2.720746,1.2167,-2.2360927,0.434966, 
Left inferior parietal, 0.623868,1.9774, 0.3154938,0.976809, 
Left inferior temporal,-4.281359,1.7033,-2.5135862,0.431153, 
Left isthmus cingulate, 0.178997,2.5498, 0.0702003,0.995342, 
Left lateral occipital,-1.305922,2.1923,-0.5956958,0.976809, 
Left lateral orbitofrontal, 0.685458,2.3577, 0.2907272,0.976809, 
Left lingual,-2.041270,1.7451,-1.1696906,0.845660, 
Left medial orbitofrontal, 1.894162,1.8572, 1.0198786,0.890432, 
Left middle temporal,-3.076397,1.9074,-1.6129062,0.590010, 
Left parahippocampal,-0.580577,1.5615,-0.3718011,0.976809, 
Left paracentral,-1.610825,3.0031,-0.5363963,0.976809, 
Left pars opercularis, 3.906905,2.7886, 1.4010025,0.786859, 
Left pars orbitalis, 1.662554,2.2130, 0.7512782,0.949118, 
Left pars triangularis,-1.116117,2.7771,-0.4018970,0.976809, 
Left pericalcarine, 0.572037,1.5019, 0.3808853,0.976809, 
Left postcentral, 0.497139,3.2962, 0.1508217,0.995342, 
Left posterior cingulate, 4.319765,2.1178, 2.0397228,0.504957, 
Left precentral, 0.380672,3.5870, 0.1061258,0.995342, 
Left precuneus,-2.206465,2.7775,-0.7944108,0.949118, 
Left rostral anterior cingulate, 2.738856,1.4431, 1.8979077,0.542297, 
Left rostral middle frontal,-1.429816,1.9440,-0.7355089,0.949118, 
Left superior frontal, 3.698904,2.1129, 1.7506336,0.568671, 
Left superior parietal,-1.321879,3.2491,-0.4068477,0.976809, 
Left superior temporal,-3.547130,3.2097,-1.1051287,0.856968, 
Left supramarginal, 1.944378,2.0329, 0.9564451,0.890432, 
Left transverse temporal, 0.012677,2.4575, 0.0051586,0.995897, 
Left insula, 0.294263,2.0418, 0.1441194,0.995342, 
Right caudal anterior cingulate, 3.275992,1.6384, 1.9994906,0.504957, 
Right caudal middle frontal, 1.946554,2.1608, 0.9008326,0.890432, 
Right cuneus,-1.071339,2.0766,-0.5159153,0.976809, 
Right entorhinal,-1.203291,1.1968,-1.0054390,0.890432, 
Right fusiform,-2.128376,1.3330,-1.5966280,0.590010, 
Right inferior parietal,-0.133076,2.1514,-0.0618559,0.995342, 
Right inferior temporal,-1.942935,1.5603,-1.2452544,0.800014, 
Right isthmus cingulate, 1.433001,2.3520, 0.6092713,0.976809, 
Right lateral occipital,-0.286790,2.2361,-0.1282561,0.995342, 
Right lateral orbitofrontal, 1.485779,2.1420, 0.6936415,0.949118, 
Right lingual,-0.011453,1.8775,-0.0061003,0.995897, 
Right medial orbitofrontal, 1.375951,1.9686, 0.6989581,0.949118, 
Right middle temporal,-2.460825,1.9882,-1.2377022,0.800014, 
Right parahippocampal,-2.026976,1.6190,-1.2519655,0.800014, 
Right paracentral,-0.904104,2.5324,-0.3570131,0.976809, 
Right pars opercularis,-0.738149,2.5121,-0.2938336,0.976809, 
Right pars orbitalis, 0.601311,1.8171, 0.3309140,0.976809, 
Right pars triangularis, 3.858029,2.2609, 1.7063853,0.568671, 
Right pericalcarine,-0.397297,1.6836,-0.2359839,0.991598, 
Right postcentral, 1.414191,3.4957, 0.4045464,0.976809, 
Right posterior cingulate, 3.078770,2.2939, 1.3421499,0.800014, 
Right precentral, 1.147306,3.3896, 0.3384793,0.976809, 
Right precuneus, 1.122047,2.8136, 0.3987933,0.976809, 
Right rostral anterior cingulate, 1.439503,1.6084, 0.8949993,0.890432, 
Right rostral middle frontal, 1.522869,1.6122, 0.9445691,0.890432, 
Right superior frontal, 4.097099,2.2611, 1.8120241,0.568671, 
Right superior parietal, 0.242769,2.8299, 0.0857874,0.995342, 
Right superior temporal,-0.165789,3.5857,-0.0462366,0.995342, 
Right supramarginal, 0.766518,2.2291, 0.3438659,0.976809, 
Right transverse temporal,-0.184850,2.3485,-0.0787086,0.995342, 
Right insula, 0.569529,2.4352, 0.2338689,0.991598, 
