ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate, 2.87367,1.00309, 2.864828,0.24741, 
Left caudal middle frontal, 1.50624,1.25216, 1.202913,0.51573, 
Left cuneus, 1.36239,1.55503, 0.876120,0.64220, 
Left entorhinal, 0.10249,0.79702, 0.128588,0.91268, 
Left fusiform,-0.84430,0.79458,-1.062580,0.56334, 
Left inferior parietal, 0.71531,1.41379, 0.505954,0.74428, 
Left inferior temporal,-1.06212,1.12770,-0.941845,0.63594, 
Left isthmus cingulate, 0.77417,1.23209, 0.628335,0.72822, 
Left lateral occipital,-0.31613,1.50154,-0.210535,0.86151, 
Left lateral orbitofrontal, 0.71609,1.14726, 0.624174,0.72822, 
Left lingual, 0.25062,1.10009, 0.227818,0.86151, 
Left medial orbitofrontal, 1.38832,1.07292, 1.293962,0.51573, 
Left middle temporal,-0.76010,1.15307,-0.659192,0.72822, 
Left parahippocampal, 0.41919,1.06002, 0.395456,0.81070, 
Left paracentral, 0.91255,1.80968, 0.504257,0.74428, 
Left pars opercularis, 1.48700,1.20361, 1.235447,0.51573, 
Left pars orbitalis, 0.93394,1.04525, 0.893509,0.64220, 
Left pars triangularis, 0.39836,1.23231, 0.323266,0.82245, 
Left pericalcarine, 0.43098,1.21104, 0.355880,0.81473, 
Left postcentral, 3.15962,1.85135, 1.706659,0.51573, 
Left posterior cingulate, 2.06477,1.09828, 1.880003,0.51573, 
Left precentral, 2.51587,1.69529, 1.484031,0.51573, 
Left precuneus, 2.06112,1.48077, 1.391924,0.51573, 
Left rostral anterior cingulate, 2.40089,0.88528, 2.712023,0.24741, 
Left rostral middle frontal, 0.51862,1.05514, 0.491517,0.74428, 
Left superior frontal, 2.81699,1.12429, 2.505566,0.28900, 
Left superior parietal, 2.23352,2.04402, 1.092708,0.55475, 
Left superior temporal, 0.85417,1.41020, 0.605713,0.72822, 
Left supramarginal, 1.56936,1.33050, 1.179527,0.51573, 
Left transverse temporal, 1.25177,1.24385, 1.006365,0.59535, 
Left insula, 1.43304,0.87029, 1.646611,0.51573, 
Right caudal anterior cingulate, 1.88463,0.82883, 2.273853,0.33333, 
Right caudal middle frontal, 2.59687,1.25572, 2.068030,0.42826, 
Right cuneus, 0.16389,1.70764, 0.095974,0.92375, 
Right entorhinal, 0.95960,0.71674, 1.338834,0.51573, 
Right fusiform,-0.50913,0.78906,-0.645233,0.72822, 
Right inferior parietal, 1.04054,1.44469, 0.720248,0.72822, 
Right inferior temporal, 0.37897,1.00182, 0.378284,0.81070, 
Right isthmus cingulate, 1.61448,1.26076, 1.280566,0.51573, 
Right lateral occipital, 1.13248,1.45205, 0.779921,0.69542, 
Right lateral orbitofrontal, 1.26836,0.98111, 1.292777,0.51573, 
Right lingual, 0.82048,1.17130, 0.700491,0.72822, 
Right medial orbitofrontal, 1.35976,0.95022, 1.430999,0.51573, 
Right middle temporal,-0.25265,1.05016,-0.240584,0.86151, 
Right parahippocampal,-0.31542,1.01256,-0.311508,0.82245, 
Right paracentral, 0.99021,1.74009, 0.569053,0.72822, 
Right pars opercularis, 0.56671,0.98112, 0.577611,0.72822, 
Right pars orbitalis, 1.00687,0.90648, 1.110741,0.55475, 
Right pars triangularis, 1.15689,0.96368, 1.200485,0.51573, 
Right pericalcarine,-1.09207,1.39020,-0.785548,0.69542, 
Right postcentral, 2.59615,1.71233, 1.516150,0.51573, 
Right posterior cingulate, 1.85903,1.04208, 1.783958,0.51573, 
Right precentral, 2.10041,1.41927, 1.479916,0.51573, 
Right precuneus, 2.08970,1.72402, 1.212106,0.51573, 
Right rostral anterior cingulate, 1.38485,0.76574, 1.808522,0.51573, 
Right rostral middle frontal, 0.80187,0.91371, 0.877602,0.64220, 
Right superior frontal, 2.51002,1.11593, 2.249258,0.33333, 
Right superior parietal, 2.47724,1.85021, 1.338895,0.51573, 
Right superior temporal, 1.56299,1.14207, 1.368562,0.51573, 
Right supramarginal, 1.50785,1.25953, 1.197152,0.51573, 
Right transverse temporal, 0.58527,1.04151, 0.561937,0.72822, 
Right insula, 1.43952,0.90131, 1.597131,0.51573, 
