ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate, 2.5147332,1.5255, 1.6484287,0.71854, 
Left caudal middle frontal, 1.3624640,1.8073, 0.7538630,0.85481, 
Left cuneus, 2.3052488,1.9297, 1.1946187,0.81179, 
Left entorhinal,-1.6396447,1.0358,-1.5829194,0.71854, 
Left fusiform,-2.1504808,1.0740,-2.0022781,0.71854, 
Left inferior parietal, 2.0675354,1.7215, 1.2010164,0.81179, 
Left inferior temporal,-2.3549358,1.5295,-1.5397023,0.71854, 
Left isthmus cingulate,-2.0976528,2.2259,-0.9423820,0.85335, 
Left lateral occipital,-0.9223671,1.9255,-0.4790213,0.87241, 
Left lateral orbitofrontal,-1.4799226,2.0639,-0.7170540,0.85481, 
Left lingual,-0.9395117,1.5409,-0.6097284,0.86263, 
Left medial orbitofrontal, 0.2558302,1.6401, 0.1559859,0.99844, 
Left middle temporal,-0.9780131,1.6969,-0.5763441,0.86263, 
Left parahippocampal,-1.1796010,1.3654,-0.8638972,0.85481, 
Left paracentral,-3.5799813,2.6105,-1.3713751,0.77057, 
Left pars opercularis, 0.1690681,2.4765, 0.0682682,0.99844, 
Left pars orbitalis,-0.5738565,1.9479,-0.2946071,0.93491, 
Left pars triangularis,-1.9954340,2.4298,-0.8212365,0.85481, 
Left pericalcarine, 0.8958901,1.3156, 0.6809892,0.85481, 
Left postcentral, 3.2725567,2.8707, 1.1399916,0.84062, 
Left posterior cingulate, 1.7526242,1.8954, 0.9246551,0.85335, 
Left precentral, 0.6772021,3.1475, 0.2151572,0.98983, 
Left precuneus, 2.5186204,2.4312, 1.0359631,0.85335, 
Left rostral anterior cingulate, 2.4597713,1.2652, 1.9441303,0.71854, 
Left rostral middle frontal,-0.2691586,1.7115,-0.1572636,0.99844, 
Left superior frontal, 3.8480596,1.8403, 2.0909850,0.71854, 
Left superior parietal, 2.1424446,2.8446, 0.7531537,0.85481, 
Left superior temporal,-2.9771153,2.8188,-1.0561600,0.85335, 
Left supramarginal, 2.7803795,1.7677, 1.5729095,0.71854, 
Left transverse temporal, 0.0073807,2.1568, 0.0034221,0.99844, 
Left insula,-1.1911374,1.7874,-0.6664105,0.85481, 
Right caudal anterior cingulate, 0.7321762,1.4704, 0.4979496,0.87241, 
Right caudal middle frontal, 3.5246759,1.8657, 1.8892297,0.71854, 
Right cuneus,-0.6628108,1.8240,-0.3633803,0.92646, 
Right entorhinal,-0.0528715,1.0568,-0.0500297,0.99844, 
Right fusiform,-2.0801018,1.1656,-1.7845998,0.71854, 
Right inferior parietal, 1.3604716,1.8822, 0.7227945,0.85481, 
Right inferior temporal,-1.2861888,1.3750,-0.9354406,0.85335, 
Right isthmus cingulate, 1.3209450,2.0638, 0.6400666,0.85481, 
Right lateral occipital, 0.0038505,1.9627, 0.0019618,0.99844, 
Right lateral orbitofrontal, 0.0281690,1.8854, 0.0149402,0.99844, 
Right lingual,-0.0095185,1.6478,-0.0057764,0.99844, 
Right medial orbitofrontal,-0.1883097,1.7327,-0.1086768,0.99844, 
Right middle temporal,-2.1613093,1.7450,-1.2386048,0.81179, 
Right parahippocampal,-2.2352818,1.4131,-1.5818539,0.71854, 
Right paracentral,-1.1065837,2.2210,-0.4982463,0.87241, 
Right pars opercularis,-3.1567253,2.1782,-1.4492114,0.77057, 
Right pars orbitalis,-0.1063504,1.5958,-0.0666426,0.99844, 
Right pars triangularis, 1.1480721,2.0153, 0.5696869,0.86263, 
Right pericalcarine,-0.7300030,1.4759,-0.4946138,0.87241, 
Right postcentral, 2.2474411,3.0611, 0.7341976,0.85481, 
Right posterior cingulate, 1.6957226,2.0266, 0.8367210,0.85481, 
Right precentral, 1.1059590,2.9745, 0.3718169,0.92646, 
Right precuneus, 1.6266670,2.4652, 0.6598410,0.85481, 
Right rostral anterior cingulate, 1.4120647,1.4099, 1.0015409,0.85335, 
Right rostral middle frontal, 1.3317922,1.4150, 0.9411643,0.85335, 
Right superior frontal, 3.8630762,1.9783, 1.9527202,0.71854, 
Right superior parietal, 1.0613376,2.4810, 0.4277829,0.90295, 
Right superior temporal,-1.0354510,3.1449,-0.3292428,0.93491, 
Right supramarginal, 2.3881255,1.9400, 1.2310118,0.81179, 
Right transverse temporal,-2.8602677,2.0369,-1.4041968,0.77057, 
Right insula,-0.6622674,2.1368,-0.3099374,0.93491, 
