ROI name,Estimate,Std. Error,t value,p-value (FDR corrected),
Left caudal anterior cingulate, 0.17570384,0.068147, 2.578288,0.139278, 
Left caudal middle frontal, 0.06842971,0.056202, 1.217562,0.422711, 
Left cuneus, 0.05267033,0.047858, 1.100551,0.482485, 
Left entorhinal, 0.12522875,0.100275, 1.248849,0.422711, 
Left fusiform,-0.01258677,0.093353,-0.134829,0.923619, 
Left inferior parietal,-0.04092978,0.044998,-0.909586,0.564353, 
Left inferior temporal,-0.05067325,0.071579,-0.707932,0.642656, 
Left isthmus cingulate, 0.14453947,0.056497, 2.558335,0.139278, 
Left lateral occipital,-0.01463544,0.044317,-0.330241,0.806600, 
Left lateral orbitofrontal, 0.07578293,0.063193, 1.199231,0.422711, 
Left lingual,-0.00919335,0.075847,-0.121209,0.923619, 
Left medial orbitofrontal, 0.02966162,0.061768, 0.480211,0.738835, 
Left middle temporal,-0.09463034,0.066936,-1.413735,0.398116, 
Left parahippocampal, 0.14092101,0.070145, 2.008986,0.218610, 
Left paracentral, 0.14372879,0.041384, 3.473073,0.038839,*
Left pars opercularis, 0.03048251,0.057427, 0.530802,0.710765, 
Left pars orbitalis, 0.08919900,0.068421, 1.303682,0.422711, 
Left pars triangularis,-0.00025432,0.058385,-0.004356,0.996529, 
Left pericalcarine, 0.04400964,0.062469, 0.704502,0.642656, 
Left postcentral, 0.02055200,0.036570, 0.561994,0.710765, 
Left posterior cingulate, 0.08150506,0.063143, 1.290795,0.422711, 
Left precentral, 0.09225220,0.041519, 2.221947,0.186072, 
Left precuneus, 0.07035639,0.049957, 1.408340,0.398116, 
Left rostral anterior cingulate, 0.12119288,0.071730, 1.689563,0.309835, 
Left rostral middle frontal, 0.03741484,0.068703, 0.544587,0.710765, 
Left superior frontal, 0.09853478,0.058575, 1.682188,0.309835, 
Left superior parietal, 0.04368910,0.036072, 1.211156,0.422711, 
Left superior temporal, 0.02269717,0.055741, 0.407187,0.771383, 
Left supramarginal, 0.02335146,0.052847, 0.441869,0.756682, 
Left transverse temporal, 0.10790775,0.057040, 1.891783,0.232174, 
Left insula, 0.19373806,0.075271, 2.573865,0.139278, 
Right caudal anterior cingulate, 0.20703209,0.083970, 2.465551,0.149770, 
Right caudal middle frontal, 0.12176154,0.052108, 2.336695,0.171102, 
Right cuneus, 0.02632370,0.040632, 0.647858,0.655168, 
Right entorhinal, 0.11107296,0.106844, 1.039578,0.489064, 
Right fusiform,-0.14340465,0.097794,-1.466393,0.398116, 
Right inferior parietal,-0.10114988,0.048063,-2.104510,0.205956, 
Right inferior temporal,-0.15969250,0.079033,-2.020589,0.218610, 
Right isthmus cingulate, 0.10758947,0.054552, 1.972239,0.221047, 
Right lateral occipital,-0.05892128,0.045438,-1.296748,0.422711, 
Right lateral orbitofrontal, 0.07159740,0.068189, 1.049982,0.489064, 
Right lingual, 0.01366896,0.068704, 0.198955,0.900596, 
Right medial orbitofrontal, 0.05291330,0.068410, 0.773472,0.634599, 
Right middle temporal,-0.12253197,0.079018,-1.550680,0.361684, 
Right parahippocampal, 0.06899296,0.073394, 0.940032,0.553703, 
Right paracentral, 0.13372089,0.041283, 3.239158,0.043294,*
Right pars opercularis, 0.06920719,0.066328, 1.043412,0.489064, 
Right pars orbitalis, 0.06651460,0.077002, 0.863803,0.587784, 
Right pars triangularis, 0.06054627,0.072718, 0.832619,0.599362, 
Right pericalcarine, 0.07959098,0.055072, 1.445218,0.398116, 
Right postcentral, 0.04886074,0.040496, 1.206565,0.422711, 
Right posterior cingulate, 0.04548247,0.066929, 0.679563,0.642656, 
Right precentral, 0.10722232,0.046489, 2.306403,0.171102, 
Right precuneus, 0.02866373,0.041933, 0.683563,0.642656, 
Right rostral anterior cingulate, 0.13773410,0.088143, 1.562622,0.361684, 
Right rostral middle frontal, 0.04937146,0.071361, 0.691852,0.642656, 
Right superior frontal, 0.12744501,0.058327, 2.184997,0.186072, 
Right superior parietal, 0.04890117,0.038736, 1.262408,0.422711, 
Right superior temporal,-0.02558338,0.066049,-0.387340,0.773784, 
Right supramarginal, 0.00653621,0.056940, 0.114791,0.923619, 
Right transverse temporal, 0.10901970,0.064988, 1.677524,0.309835, 
Right insula, 0.14295801,0.075402, 1.895941,0.232174, 
